Channel No.	Counts
1	0.0
2	0.0
3	481506.0
4	2419143.0
5	300516.0
6	300723.0
7	301835.0
8	253833.0
9	179786.0
10	121631.0
11	62533.0
12	22839.0
13	7793.0
14	3663.0
15	2311.0
16	1149.0
17	578.0
18	208.0
19	65.0
20	12.0
21	10.0
22	6.0
23	6.0
24	4.0
25	5.0
26	2.0
27	7.0
28	6.0
29	5.0
30	5.0
31	6.0
32	3.0
33	6.0
34	4.0
35	3.0
36	3.0
37	5.0
38	2.0
39	1.0
40	8.0
41	2.0
42	6.0
43	7.0
44	6.0
45	5.0
46	7.0
47	2.0
48	7.0
49	5.0
50	2.0
51	7.0
52	6.0
53	5.0
54	3.0
55	5.0
56	2.0
57	3.0
58	3.0
59	5.0
60	2.0
61	8.0
62	6.0
63	3.0
64	5.0
65	2.0
66	1.0
67	4.0
68	1.0
69	4.0
70	3.0
71	5.0
72	0.0
73	3.0
74	3.0
75	7.0
76	5.0
77	5.0
78	5.0
79	3.0
80	5.0
81	4.0
82	8.0
83	4.0
84	4.0
85	6.0
86	4.0
87	8.0
88	4.0
89	4.0
90	5.0
91	3.0
92	9.0
93	9.0
94	7.0
95	6.0
96	6.0
97	4.0
98	5.0
99	6.0
100	10.0
101	4.0
102	7.0
103	10.0
104	4.0
105	7.0
106	9.0
107	4.0
108	8.0
109	10.0
110	2.0
111	5.0
112	11.0
113	11.0
114	6.0
115	4.0
116	10.0
117	8.0
118	7.0
119	10.0
120	4.0
121	2.0
122	9.0
123	10.0
124	4.0
125	9.0
126	6.0
127	7.0
128	3.0
129	9.0
130	7.0
131	8.0
132	5.0
133	5.0
134	6.0
135	7.0
136	7.0
137	8.0
138	9.0
139	1.0
140	7.0
141	5.0
142	5.0
143	6.0
144	4.0
145	11.0
146	9.0
147	6.0
148	4.0
149	6.0
150	3.0
151	6.0
152	8.0
153	5.0
154	11.0
155	4.0
156	7.0
157	2.0
158	3.0
159	8.0
160	10.0
161	4.0
162	4.0
163	3.0
164	8.0
165	8.0
166	3.0
167	4.0
168	5.0
169	5.0
170	5.0
171	5.0
172	9.0
173	5.0
174	7.0
175	5.0
176	8.0
177	7.0
178	2.0
179	7.0
180	4.0
181	5.0
182	5.0
183	5.0
184	4.0
185	5.0
186	6.0
187	9.0
188	5.0
189	8.0
190	8.0
191	5.0
192	2.0
193	3.0
194	11.0
195	7.0
196	7.0
197	3.0
198	6.0
199	4.0
200	4.0
201	4.0
202	10.0
203	4.0
204	6.0
205	6.0
206	2.0
207	8.0
208	7.0
209	7.0
210	8.0
211	9.0
212	8.0
213	5.0
214	5.0
215	2.0
216	3.0
217	4.0
218	5.0
219	4.0
220	3.0
221	7.0
222	6.0
223	6.0
224	4.0
225	3.0
226	5.0
227	8.0
228	1.0
229	6.0
230	0.0
231	6.0
232	3.0
233	4.0
234	7.0
235	5.0
236	6.0
237	2.0
238	8.0
239	5.0
240	6.0
241	3.0
242	7.0
243	6.0
244	6.0
