Channel No.	Counts
1	0.0
2	1.0
3	184510.0
4	5042886.0
5	4935209.0
6	7481933.0
7	10763403.0
8	10090539.0
9	3994182.0
10	1169076.0
11	623725.0
12	438991.0
13	352198.0
14	269142.0
15	166825.0
16	85796.0
17	42070.0
18	22510.0
19	15287.0
20	11427.0
21	8972.0
22	6798.0
23	5078.0
24	3601.0
25	2623.0
26	1644.0
27	1037.0
28	612.0
29	295.0
30	142.0
31	51.0
32	21.0
33	14.0
34	9.0
35	15.0
36	11.0
37	9.0
38	4.0
39	8.0
40	12.0
41	15.0
42	9.0
43	6.0
44	14.0
45	10.0
46	12.0
47	11.0
48	18.0
49	8.0
50	11.0
51	10.0
52	11.0
53	6.0
54	10.0
55	8.0
56	12.0
57	9.0
58	15.0
59	10.0
60	9.0
61	11.0
62	16.0
63	14.0
64	10.0
65	13.0
66	21.0
67	12.0
68	8.0
69	11.0
70	14.0
71	10.0
72	14.0
73	15.0
74	12.0
75	16.0
76	6.0
77	15.0
78	11.0
79	22.0
80	15.0
81	7.0
82	13.0
83	7.0
84	7.0
85	14.0
86	11.0
87	9.0
88	11.0
89	16.0
90	9.0
91	17.0
92	12.0
93	11.0
94	21.0
95	13.0
96	14.0
97	9.0
98	14.0
99	15.0
100	21.0
101	18.0
102	8.0
103	21.0
104	14.0
105	11.0
106	25.0
107	26.0
108	15.0
109	13.0
110	21.0
111	18.0
112	21.0
113	18.0
114	33.0
115	21.0
116	21.0
117	18.0
118	14.0
119	24.0
120	18.0
121	17.0
122	23.0
123	14.0
124	19.0
125	17.0
126	17.0
127	20.0
128	22.0
129	15.0
130	16.0
131	18.0
132	12.0
133	19.0
134	16.0
135	18.0
136	11.0
137	17.0
138	16.0
139	17.0
140	12.0
141	10.0
142	11.0
143	19.0
144	12.0
145	19.0
146	17.0
147	17.0
148	17.0
149	15.0
150	19.0
151	9.0
152	15.0
153	19.0
154	13.0
155	12.0
156	24.0
157	15.0
158	17.0
159	9.0
160	11.0
161	20.0
162	15.0
163	11.0
164	10.0
165	27.0
166	8.0
167	12.0
168	14.0
169	25.0
170	12.0
171	16.0
172	13.0
173	9.0
174	13.0
175	22.0
176	11.0
177	16.0
178	17.0
179	18.0
180	12.0
181	18.0
182	15.0
183	23.0
184	16.0
185	11.0
186	17.0
187	23.0
188	13.0
189	18.0
190	21.0
191	15.0
192	14.0
193	23.0
194	20.0
195	24.0
196	15.0
197	17.0
198	20.0
199	21.0
200	15.0
201	18.0
202	24.0
203	13.0
204	11.0
205	14.0
206	28.0
207	18.0
208	18.0
209	18.0
210	16.0
211	18.0
212	15.0
213	17.0
214	17.0
215	18.0
216	14.0
217	12.0
218	19.0
219	18.0
220	22.0
221	21.0
222	16.0
223	15.0
224	16.0
225	11.0
226	16.0
227	13.0
228	14.0
229	12.0
230	7.0
231	21.0
232	17.0
233	16.0
234	24.0
235	12.0
236	25.0
237	23.0
238	12.0
239	12.0
240	13.0
241	14.0
242	11.0
243	13.0
244	19.0
245	12.0
246	16.0
247	20.0
248	14.0
249	16.0
250	20.0
251	18.0
252	19.0
253	24.0
254	13.0
255	26.0
256	18.0
257	11.0
258	17.0
259	18.0
260	21.0
261	15.0
262	14.0
263	20.0
264	12.0
265	17.0
266	19.0
267	17.0
268	12.0
269	16.0
270	16.0
271	12.0
272	17.0
273	12.0
274	19.0
275	16.0
276	21.0
277	17.0
278	11.0
279	15.0
280	18.0
281	13.0
282	15.0
283	10.0
284	18.0
285	10.0
286	15.0
287	19.0
288	16.0
289	14.0
290	13.0
291	16.0
292	20.0
293	16.0
294	18.0
295	13.0
296	16.0
297	15.0
298	14.0
299	11.0
300	21.0
301	12.0
302	12.0
303	12.0
304	17.0
305	10.0
306	12.0
307	16.0
308	15.0
309	13.0
310	9.0
311	17.0
312	15.0
313	4.0
314	13.0
315	8.0
316	11.0
317	19.0
318	17.0
319	14.0
320	20.0
321	15.0
322	11.0
323	10.0
324	7.0
325	11.0
326	10.0
327	18.0
328	14.0
329	16.0
330	20.0
331	14.0
332	10.0
333	8.0
334	10.0
335	17.0
336	14.0
337	17.0
338	20.0
339	11.0
340	17.0
341	14.0
342	14.0
343	12.0
344	17.0
345	11.0
346	14.0
347	9.0
348	18.0
349	20.0
350	14.0
351	13.0
352	6.0
353	11.0
354	11.0
355	19.0
356	9.0
357	14.0
358	14.0
359	14.0
360	12.0
361	7.0
362	15.0
363	10.0
364	8.0
365	16.0
366	11.0
367	18.0
368	11.0
369	17.0
370	8.0
371	10.0
372	9.0
373	19.0
374	16.0
375	14.0
376	13.0
377	9.0
378	9.0
379	14.0
380	14.0
381	11.0
382	15.0
383	20.0
384	17.0
385	11.0
386	14.0
387	10.0
388	6.0
389	10.0
390	10.0
391	9.0
392	12.0
393	15.0
394	16.0
395	9.0
396	8.0
397	11.0
398	15.0
399	17.0
400	13.0
401	11.0
402	17.0
403	14.0
404	11.0
405	12.0
406	15.0
407	10.0
408	16.0
409	14.0
410	8.0
411	11.0
412	11.0
413	12.0
414	6.0
415	10.0
416	17.0
417	7.0
418	9.0
419	14.0
420	8.0
421	11.0
422	10.0
423	10.0
424	18.0
425	13.0
426	2.0
427	18.0
428	13.0
429	16.0
430	15.0
431	12.0
432	9.0
433	17.0
434	17.0
435	10.0
436	10.0
437	8.0
438	7.0
439	15.0
440	8.0
441	9.0
442	15.0
443	10.0
444	7.0
445	10.0
446	14.0
447	6.0
448	18.0
449	7.0
450	8.0
451	15.0
452	8.0
453	14.0
454	12.0
455	12.0
456	14.0
457	10.0
458	14.0
459	11.0
460	9.0
461	13.0
462	5.0
463	13.0
464	14.0
465	14.0
