Channel No.	Counts
1	0.0
2	0.0
3	587480.0
4	17516136.0
5	7729883.0
6	2610133.0
7	1652719.0
8	671296.0
9	111829.0
10	27322.0
11	10454.0
12	5988.0
13	3471.0
14	1817.0
15	813.0
16	269.0
17	78.0
18	24.0
19	8.0
20	10.0
21	10.0
22	6.0
23	7.0
24	4.0
25	5.0
26	9.0
27	9.0
28	10.0
29	10.0
30	9.0
31	5.0
32	9.0
33	8.0
34	7.0
35	7.0
36	12.0
37	10.0
38	5.0
39	4.0
40	9.0
41	7.0
42	5.0
43	3.0
44	10.0
45	10.0
46	5.0
47	4.0
48	7.0
49	7.0
50	8.0
51	5.0
52	6.0
53	7.0
54	5.0
55	8.0
56	5.0
57	10.0
58	6.0
59	5.0
60	7.0
61	4.0
62	7.0
63	10.0
64	11.0
65	6.0
66	11.0
67	6.0
68	4.0
69	6.0
70	11.0
71	6.0
72	8.0
73	8.0
74	9.0
75	10.0
76	6.0
77	8.0
78	7.0
79	5.0
80	12.0
81	10.0
82	6.0
83	8.0
84	9.0
85	5.0
86	12.0
87	10.0
88	9.0
89	9.0
90	8.0
91	9.0
92	6.0
93	8.0
94	15.0
95	5.0
96	6.0
97	16.0
98	9.0
99	10.0
100	15.0
101	10.0
102	11.0
103	9.0
104	11.0
105	9.0
106	8.0
107	9.0
108	14.0
109	15.0
110	17.0
111	15.0
112	14.0
113	14.0
114	16.0
115	15.0
116	11.0
117	14.0
118	12.0
119	10.0
120	6.0
121	10.0
122	10.0
123	9.0
124	13.0
125	12.0
126	13.0
127	8.0
128	8.0
129	9.0
130	9.0
131	14.0
132	6.0
133	15.0
134	13.0
135	9.0
136	14.0
137	10.0
138	8.0
139	6.0
140	8.0
141	12.0
142	11.0
143	13.0
144	9.0
145	14.0
146	15.0
147	15.0
148	8.0
149	12.0
150	8.0
151	7.0
152	11.0
153	8.0
154	12.0
155	14.0
156	12.0
157	11.0
158	8.0
159	13.0
160	14.0
161	12.0
162	16.0
163	17.0
164	10.0
165	8.0
166	11.0
167	10.0
168	14.0
169	8.0
170	16.0
171	9.0
172	12.0
173	10.0
174	14.0
175	10.0
176	16.0
177	12.0
178	11.0
179	12.0
180	22.0
181	8.0
182	13.0
183	14.0
184	11.0
185	10.0
186	9.0
187	16.0
188	13.0
189	11.0
190	17.0
191	17.0
192	9.0
193	11.0
194	17.0
195	8.0
196	11.0
197	12.0
198	14.0
199	10.0
200	15.0
201	10.0
202	19.0
203	18.0
204	15.0
205	10.0
206	11.0
207	13.0
208	14.0
209	15.0
210	21.0
211	15.0
212	10.0
213	12.0
214	12.0
215	8.0
216	14.0
217	12.0
218	15.0
219	11.0
220	12.0
221	17.0
222	16.0
223	12.0
224	9.0
225	14.0
226	17.0
227	16.0
228	13.0
229	12.0
230	16.0
231	15.0
232	11.0
233	13.0
234	16.0
235	15.0
236	9.0
237	9.0
238	11.0
239	14.0
240	13.0
241	18.0
242	13.0
243	11.0
244	12.0
