Channel No.	Counts
1	0.0
2	0.0
3	903563.0
4	6764889.0
5	1235087.0
6	164663.0
7	15806.0
8	7037.0
9	3921.0
10	1667.0
11	437.0
12	49.0
13	11.0
14	7.0
15	9.0
16	6.0
17	5.0
18	5.0
19	8.0
20	4.0
21	8.0
22	4.0
23	3.0
24	3.0
25	4.0
26	6.0
27	4.0
28	3.0
29	7.0
30	4.0
31	1.0
32	1.0
33	3.0
34	1.0
35	6.0
36	1.0
37	2.0
38	1.0
39	3.0
40	4.0
41	3.0
42	1.0
43	3.0
44	6.0
45	5.0
46	3.0
47	5.0
48	5.0
49	7.0
50	4.0
51	3.0
52	4.0
53	4.0
54	6.0
55	5.0
56	4.0
57	2.0
58	1.0
59	5.0
60	3.0
61	3.0
62	4.0
63	7.0
64	4.0
65	2.0
66	8.0
67	7.0
68	4.0
69	2.0
70	9.0
71	4.0
72	2.0
73	3.0
74	3.0
75	8.0
76	3.0
77	4.0
78	3.0
79	2.0
80	5.0
81	9.0
82	6.0
83	6.0
84	5.0
85	4.0
86	5.0
87	5.0
88	4.0
89	5.0
90	5.0
91	5.0
92	2.0
93	6.0
94	5.0
95	6.0
96	7.0
97	4.0
98	3.0
99	6.0
100	11.0
101	11.0
102	6.0
103	9.0
104	5.0
105	6.0
106	10.0
107	7.0
108	7.0
109	10.0
110	6.0
111	8.0
112	11.0
113	10.0
114	9.0
115	9.0
116	5.0
117	5.0
118	7.0
119	8.0
120	9.0
121	3.0
122	8.0
123	2.0
124	7.0
125	4.0
126	5.0
127	5.0
128	4.0
129	9.0
130	9.0
131	5.0
132	8.0
133	7.0
134	4.0
135	8.0
136	4.0
137	3.0
138	3.0
139	8.0
140	3.0
141	4.0
142	9.0
143	6.0
144	5.0
145	7.0
146	7.0
147	10.0
148	3.0
149	4.0
150	5.0
151	4.0
152	5.0
153	11.0
154	7.0
155	6.0
156	6.0
157	8.0
158	16.0
159	4.0
160	4.0
161	7.0
162	3.0
163	4.0
164	5.0
165	3.0
166	6.0
167	11.0
168	5.0
169	9.0
170	2.0
171	16.0
172	5.0
173	4.0
174	5.0
175	3.0
176	2.0
177	5.0
178	4.0
179	10.0
180	5.0
181	8.0
182	6.0
183	12.0
184	6.0
185	6.0
186	9.0
187	4.0
188	2.0
189	4.0
190	3.0
191	11.0
192	7.0
193	9.0
194	7.0
195	4.0
196	9.0
197	9.0
198	5.0
199	2.0
200	5.0
201	6.0
202	5.0
203	5.0
204	5.0
205	11.0
206	7.0
207	8.0
208	2.0
209	8.0
210	3.0
211	6.0
212	5.0
213	9.0
214	11.0
215	9.0
216	0.0
217	7.0
218	4.0
219	9.0
220	4.0
221	12.0
222	5.0
223	5.0
224	0.0
225	3.0
226	11.0
227	7.0
228	3.0
229	5.0
230	4.0
231	4.0
232	9.0
233	6.0
234	3.0
235	6.0
236	4.0
237	3.0
238	10.0
239	2.0
240	7.0
241	6.0
242	7.0
243	8.0
244	7.0
245	5.0
