Channel No.	Counts
1	0.0
2	0.0
3	1047593.0
4	10572490.0
5	2108297.0
6	827156.0
7	142478.0
8	31116.0
9	9212.0
10	4530.0
11	2218.0
12	847.0
13	265.0
14	29.0
15	10.0
16	10.0
17	7.0
18	9.0
19	8.0
20	6.0
21	8.0
22	5.0
23	4.0
24	7.0
25	6.0
26	5.0
27	9.0
28	6.0
29	4.0
30	4.0
31	7.0
32	14.0
33	7.0
34	5.0
35	5.0
36	4.0
37	10.0
38	2.0
39	6.0
40	5.0
41	5.0
42	5.0
43	8.0
44	8.0
45	6.0
46	4.0
47	7.0
48	7.0
49	3.0
50	3.0
51	5.0
52	3.0
53	3.0
54	9.0
55	3.0
56	5.0
57	4.0
58	12.0
59	11.0
60	7.0
61	7.0
62	2.0
63	9.0
64	2.0
65	8.0
66	5.0
67	9.0
68	3.0
69	6.0
70	5.0
71	1.0
72	6.0
73	6.0
74	10.0
75	5.0
76	5.0
77	3.0
78	9.0
79	10.0
80	6.0
81	6.0
82	15.0
83	8.0
84	5.0
85	8.0
86	6.0
87	4.0
88	8.0
89	4.0
90	10.0
91	8.0
92	9.0
93	7.0
94	3.0
95	2.0
96	7.0
97	8.0
98	5.0
99	9.0
100	13.0
101	4.0
102	15.0
103	9.0
104	12.0
105	8.0
106	11.0
107	12.0
108	6.0
109	11.0
110	10.0
111	10.0
112	11.0
113	11.0
114	9.0
115	15.0
116	10.0
117	10.0
118	5.0
119	14.0
120	8.0
121	7.0
122	11.0
123	12.0
124	8.0
125	5.0
126	14.0
127	9.0
128	7.0
129	10.0
130	12.0
131	14.0
132	6.0
133	13.0
134	6.0
135	12.0
136	3.0
137	12.0
138	5.0
139	12.0
140	8.0
141	7.0
142	10.0
143	8.0
144	15.0
145	11.0
146	12.0
147	11.0
148	10.0
149	10.0
150	8.0
151	9.0
152	5.0
153	5.0
154	6.0
155	6.0
156	12.0
157	10.0
158	12.0
159	6.0
160	10.0
161	4.0
162	13.0
163	9.0
164	7.0
165	11.0
166	9.0
167	12.0
168	8.0
169	14.0
170	11.0
171	5.0
172	14.0
173	6.0
174	2.0
175	6.0
176	10.0
177	14.0
178	6.0
179	10.0
180	8.0
181	8.0
182	9.0
183	11.0
184	10.0
185	12.0
186	13.0
187	9.0
188	7.0
189	16.0
190	6.0
191	6.0
192	11.0
193	10.0
194	11.0
195	17.0
196	4.0
197	11.0
198	12.0
199	14.0
200	11.0
201	11.0
202	16.0
203	14.0
204	16.0
205	8.0
206	15.0
207	12.0
208	13.0
209	12.0
210	4.0
211	13.0
212	7.0
213	10.0
214	6.0
215	11.0
216	14.0
217	13.0
218	8.0
219	16.0
220	12.0
221	8.0
222	11.0
223	17.0
224	15.0
225	16.0
226	10.0
227	13.0
228	7.0
229	7.0
230	13.0
231	8.0
232	10.0
233	16.0
234	6.0
235	10.0
236	15.0
237	15.0
238	12.0
239	11.0
240	15.0
241	12.0
242	10.0
243	10.0
244	14.0
245	8.0
