Channel No.	Counts
1	0.0
2	1.0
3	939250.0
4	8292757.0
5	1878243.0
6	490982.0
7	90933.0
8	25861.0
9	10223.0
10	4184.0
11	1579.0
12	486.0
13	145.0
14	44.0
15	30.0
16	14.0
17	16.0
18	8.0
19	4.0
20	4.0
21	9.0
22	12.0
23	12.0
24	7.0
25	5.0
26	2.0
27	5.0
28	6.0
29	2.0
30	8.0
31	11.0
32	7.0
33	5.0
34	8.0
35	9.0
36	5.0
37	7.0
38	6.0
39	6.0
40	6.0
41	9.0
42	7.0
43	5.0
44	7.0
45	7.0
46	8.0
47	5.0
48	5.0
49	6.0
50	11.0
51	7.0
52	4.0
53	7.0
54	8.0
55	11.0
56	4.0
57	8.0
58	8.0
59	7.0
60	7.0
61	11.0
62	9.0
63	4.0
64	6.0
65	4.0
66	6.0
67	3.0
68	3.0
69	9.0
70	5.0
71	9.0
72	6.0
73	5.0
74	13.0
75	10.0
76	5.0
77	12.0
78	11.0
79	4.0
80	8.0
81	10.0
82	11.0
83	11.0
84	6.0
85	7.0
86	9.0
87	9.0
88	5.0
89	4.0
90	8.0
91	9.0
92	8.0
93	7.0
94	8.0
95	7.0
96	3.0
97	14.0
98	11.0
99	11.0
100	10.0
101	10.0
102	7.0
103	9.0
104	5.0
105	13.0
106	11.0
107	4.0
108	15.0
109	5.0
110	11.0
111	11.0
112	8.0
113	11.0
114	10.0
115	16.0
116	13.0
117	5.0
118	10.0
119	12.0
120	10.0
121	10.0
122	4.0
123	13.0
124	7.0
125	11.0
126	7.0
127	13.0
128	8.0
129	10.0
130	15.0
131	7.0
132	10.0
133	7.0
134	13.0
135	7.0
136	9.0
137	8.0
138	10.0
139	12.0
140	9.0
141	11.0
142	18.0
143	6.0
144	2.0
145	15.0
146	8.0
147	15.0
148	12.0
149	9.0
150	10.0
151	3.0
152	9.0
153	7.0
154	7.0
155	11.0
156	14.0
157	6.0
158	4.0
159	7.0
160	9.0
161	7.0
162	7.0
163	10.0
164	14.0
165	9.0
166	8.0
167	11.0
168	11.0
169	7.0
170	15.0
171	14.0
172	10.0
173	10.0
174	11.0
175	8.0
176	9.0
177	5.0
178	11.0
179	14.0
180	13.0
181	6.0
182	10.0
183	11.0
184	4.0
185	10.0
186	15.0
187	14.0
188	10.0
189	8.0
190	17.0
191	10.0
192	10.0
193	8.0
194	5.0
195	10.0
196	9.0
197	16.0
198	10.0
199	10.0
200	22.0
201	12.0
202	12.0
203	10.0
204	11.0
205	16.0
206	2.0
207	11.0
208	12.0
209	10.0
210	15.0
211	13.0
212	13.0
213	14.0
214	18.0
215	13.0
216	8.0
217	8.0
218	12.0
219	12.0
220	10.0
221	7.0
222	11.0
223	6.0
224	8.0
225	6.0
226	9.0
227	11.0
228	13.0
229	8.0
230	14.0
231	15.0
232	11.0
233	12.0
234	12.0
235	12.0
236	8.0
237	12.0
238	14.0
239	8.0
240	14.0
241	10.0
242	7.0
243	10.0
244	13.0
245	8.0
246	12.0
247	5.0
248	13.0
249	9.0
250	10.0
251	4.0
252	7.0
253	11.0
254	11.0
255	5.0
256	13.0
257	12.0
258	7.0
259	15.0
260	11.0
261	18.0
262	12.0
263	8.0
264	7.0
265	10.0
266	17.0
267	8.0
268	7.0
269	15.0
270	10.0
271	13.0
272	11.0
273	6.0
274	6.0
275	9.0
276	7.0
277	9.0
278	14.0
279	12.0
280	7.0
281	9.0
282	12.0
283	8.0
284	11.0
285	5.0
286	13.0
287	7.0
288	4.0
289	11.0
290	12.0
291	8.0
292	9.0
293	8.0
294	8.0
295	13.0
296	9.0
297	14.0
298	14.0
299	13.0
300	12.0
301	5.0
302	9.0
303	5.0
304	6.0
305	3.0
306	10.0
307	17.0
308	11.0
309	13.0
310	18.0
311	7.0
312	3.0
313	5.0
314	9.0
315	11.0
316	11.0
317	7.0
318	13.0
319	10.0
320	4.0
321	5.0
322	11.0
323	5.0
324	8.0
325	13.0
326	13.0
327	7.0
328	6.0
329	7.0
330	10.0
331	14.0
332	11.0
333	13.0
334	11.0
335	6.0
336	8.0
337	9.0
338	5.0
339	8.0
340	9.0
341	8.0
342	10.0
343	8.0
344	7.0
345	10.0
346	5.0
347	10.0
348	5.0
349	6.0
350	13.0
351	6.0
352	9.0
353	8.0
354	13.0
355	11.0
356	7.0
357	5.0
358	11.0
359	10.0
360	3.0
361	5.0
362	3.0
363	5.0
364	7.0
365	4.0
366	9.0
367	11.0
368	11.0
369	8.0
370	11.0
371	13.0
372	9.0
373	8.0
374	8.0
375	10.0
376	11.0
377	6.0
378	10.0
379	12.0
380	9.0
381	5.0
382	6.0
383	8.0
384	8.0
385	11.0
386	9.0
387	7.0
388	8.0
389	7.0
390	8.0
391	6.0
392	3.0
393	10.0
394	8.0
395	5.0
396	7.0
397	8.0
398	9.0
399	10.0
400	13.0
401	4.0
402	9.0
403	9.0
404	7.0
405	13.0
406	15.0
407	7.0
408	12.0
409	7.0
410	8.0
411	11.0
412	6.0
413	10.0
414	9.0
415	8.0
416	15.0
417	10.0
418	17.0
419	6.0
420	7.0
421	9.0
422	9.0
423	8.0
424	9.0
425	11.0
426	8.0
427	16.0
428	14.0
429	11.0
430	11.0
431	7.0
432	9.0
433	9.0
434	11.0
435	16.0
436	12.0
437	12.0
438	11.0
439	11.0
440	10.0
441	14.0
442	15.0
443	10.0
444	12.0
445	14.0
446	14.0
447	6.0
448	11.0
449	11.0
450	9.0
451	14.0
452	18.0
453	10.0
454	14.0
455	18.0
456	9.0
457	22.0
458	10.0
459	6.0
460	20.0
461	15.0
462	15.0
463	19.0
464	12.0
465	12.0
466	15.0
467	19.0
468	12.0
