Channel No.	Counts
1	0.0
2	0.0
3	637590.0
4	17642979.0
5	7095429.0
6	2611259.0
7	1567908.0
8	560797.0
9	105770.0
10	28275.0
11	10724.0
12	6276.0
13	3840.0
14	2011.0
15	879.0
16	294.0
17	69.0
18	21.0
19	9.0
20	3.0
21	9.0
22	5.0
23	4.0
24	7.0
25	6.0
26	4.0
27	8.0
28	6.0
29	5.0
30	3.0
31	5.0
32	2.0
33	7.0
34	5.0
35	4.0
36	5.0
37	7.0
38	3.0
39	9.0
40	8.0
41	5.0
42	9.0
43	10.0
44	7.0
45	3.0
46	2.0
47	6.0
48	5.0
49	3.0
50	8.0
51	8.0
52	5.0
53	6.0
54	7.0
55	5.0
56	3.0
57	5.0
58	4.0
59	8.0
60	4.0
61	3.0
62	7.0
63	5.0
64	1.0
65	7.0
66	3.0
67	6.0
68	5.0
69	3.0
70	4.0
71	4.0
72	7.0
73	4.0
74	3.0
75	7.0
76	4.0
77	5.0
78	5.0
79	9.0
80	9.0
81	6.0
82	5.0
83	7.0
84	3.0
85	5.0
86	8.0
87	8.0
88	8.0
89	6.0
90	5.0
91	6.0
92	6.0
93	5.0
94	4.0
95	6.0
96	9.0
97	2.0
98	6.0
99	9.0
100	15.0
101	15.0
102	4.0
103	4.0
104	9.0
105	11.0
106	8.0
107	10.0
108	9.0
109	4.0
110	8.0
111	17.0
112	4.0
113	8.0
114	8.0
115	8.0
116	8.0
117	11.0
118	11.0
119	15.0
120	8.0
121	5.0
122	7.0
123	5.0
124	8.0
125	7.0
126	9.0
127	11.0
128	11.0
129	10.0
130	4.0
131	9.0
132	6.0
133	6.0
134	5.0
135	6.0
136	11.0
137	5.0
138	4.0
139	6.0
140	8.0
141	8.0
142	10.0
143	10.0
144	6.0
145	9.0
146	9.0
147	6.0
148	6.0
149	7.0
150	3.0
151	8.0
152	7.0
153	5.0
154	7.0
155	8.0
156	11.0
157	5.0
158	5.0
159	7.0
160	7.0
161	7.0
162	7.0
163	11.0
164	8.0
165	7.0
166	7.0
167	6.0
168	10.0
169	8.0
170	7.0
171	5.0
172	8.0
173	4.0
174	9.0
175	8.0
176	17.0
177	9.0
178	7.0
179	4.0
180	8.0
181	10.0
182	12.0
183	11.0
184	4.0
185	10.0
186	10.0
187	8.0
188	5.0
189	6.0
190	3.0
191	9.0
192	11.0
193	5.0
194	9.0
195	7.0
196	10.0
197	3.0
198	6.0
199	9.0
200	8.0
201	10.0
202	8.0
203	7.0
204	11.0
205	6.0
206	8.0
207	7.0
208	12.0
209	10.0
210	13.0
211	11.0
212	5.0
213	12.0
214	11.0
215	7.0
216	7.0
217	7.0
218	8.0
219	7.0
220	10.0
221	6.0
222	5.0
223	5.0
224	7.0
225	6.0
226	8.0
227	7.0
228	6.0
229	8.0
230	10.0
231	10.0
232	8.0
233	10.0
234	9.0
235	2.0
236	6.0
237	5.0
238	3.0
239	9.0
240	6.0
241	9.0
242	6.0
243	13.0
244	9.0
