Channel No.	Counts
1	0.0
2	1.0
3	1219197.0
4	7983047.0
5	1753189.0
6	501553.0
7	74667.0
8	15259.0
9	5901.0
10	2859.0
11	1032.0
12	285.0
13	49.0
14	13.0
15	13.0
16	4.0
17	5.0
18	8.0
19	7.0
20	7.0
21	8.0
22	6.0
23	2.0
24	3.0
25	2.0
26	4.0
27	9.0
28	3.0
29	4.0
30	2.0
31	6.0
32	5.0
33	2.0
34	1.0
35	5.0
36	4.0
37	2.0
38	3.0
39	2.0
40	1.0
41	4.0
42	9.0
43	2.0
44	5.0
45	3.0
46	3.0
47	2.0
48	6.0
49	5.0
50	4.0
51	4.0
52	6.0
53	8.0
54	4.0
55	8.0
56	3.0
57	3.0
58	1.0
59	4.0
60	0.0
61	3.0
62	6.0
63	4.0
64	8.0
65	3.0
66	7.0
67	3.0
68	3.0
69	2.0
70	6.0
71	3.0
72	6.0
73	7.0
74	4.0
75	3.0
76	2.0
77	2.0
78	3.0
79	4.0
80	5.0
81	1.0
82	9.0
83	5.0
84	5.0
85	6.0
86	8.0
87	7.0
88	4.0
89	2.0
90	14.0
91	4.0
92	7.0
93	6.0
94	11.0
95	5.0
96	2.0
97	9.0
98	7.0
99	6.0
100	4.0
101	8.0
102	6.0
103	8.0
104	8.0
105	8.0
106	3.0
107	8.0
108	4.0
109	6.0
110	5.0
111	6.0
112	4.0
113	12.0
114	5.0
115	11.0
116	4.0
117	6.0
118	5.0
119	5.0
120	6.0
121	11.0
122	12.0
123	6.0
124	10.0
125	4.0
126	5.0
127	3.0
128	5.0
129	3.0
130	6.0
131	3.0
132	5.0
133	5.0
134	3.0
135	2.0
136	2.0
137	12.0
138	8.0
139	1.0
140	4.0
141	11.0
142	5.0
143	6.0
144	6.0
145	7.0
146	1.0
147	3.0
148	8.0
149	8.0
150	6.0
151	6.0
152	4.0
153	2.0
154	3.0
155	6.0
156	6.0
157	6.0
158	10.0
159	4.0
160	8.0
161	5.0
162	8.0
163	4.0
164	4.0
165	7.0
166	3.0
167	9.0
168	3.0
169	10.0
170	8.0
171	6.0
172	10.0
173	6.0
174	3.0
175	9.0
176	6.0
177	6.0
178	7.0
179	6.0
180	4.0
181	5.0
182	5.0
183	4.0
184	8.0
185	9.0
186	10.0
187	8.0
188	6.0
189	5.0
190	7.0
191	6.0
192	8.0
193	3.0
194	6.0
195	2.0
196	6.0
197	7.0
198	7.0
199	6.0
200	9.0
201	4.0
202	3.0
203	7.0
204	3.0
205	4.0
206	6.0
207	5.0
208	8.0
209	2.0
210	7.0
211	5.0
212	6.0
213	6.0
214	3.0
215	4.0
216	5.0
217	3.0
218	9.0
219	9.0
220	5.0
221	5.0
222	7.0
223	6.0
224	5.0
225	6.0
226	7.0
227	5.0
228	3.0
229	5.0
230	9.0
231	4.0
232	8.0
233	6.0
234	3.0
235	6.0
236	7.0
237	5.0
238	2.0
239	6.0
240	11.0
241	6.0
242	9.0
243	8.0
244	6.0
245	7.0
246	3.0
247	4.0
248	3.0
249	3.0
250	4.0
251	8.0
252	3.0
253	3.0
254	9.0
255	8.0
256	5.0
257	5.0
258	9.0
259	4.0
260	6.0
261	8.0
262	9.0
263	11.0
264	4.0
265	7.0
266	3.0
267	4.0
268	4.0
269	8.0
270	5.0
271	5.0
272	6.0
273	3.0
274	5.0
275	4.0
276	8.0
277	8.0
278	5.0
279	3.0
280	3.0
281	5.0
282	2.0
283	4.0
284	3.0
285	2.0
286	8.0
287	6.0
288	3.0
289	4.0
290	6.0
291	5.0
292	9.0
293	7.0
294	4.0
295	4.0
296	5.0
297	9.0
298	7.0
299	5.0
300	0.0
301	4.0
302	9.0
303	2.0
304	5.0
305	2.0
306	11.0
307	2.0
308	2.0
309	5.0
310	4.0
311	4.0
312	3.0
313	1.0
314	4.0
315	8.0
316	4.0
317	6.0
318	4.0
319	3.0
320	5.0
321	6.0
322	8.0
323	5.0
324	7.0
325	0.0
326	2.0
327	2.0
328	9.0
329	2.0
330	6.0
331	6.0
332	3.0
333	5.0
334	7.0
335	6.0
336	4.0
337	6.0
338	3.0
339	3.0
340	10.0
341	6.0
342	1.0
343	3.0
344	5.0
345	4.0
346	5.0
347	7.0
348	1.0
349	5.0
350	6.0
351	5.0
352	6.0
353	5.0
354	4.0
355	2.0
356	3.0
357	5.0
358	5.0
359	2.0
360	2.0
361	1.0
362	6.0
363	4.0
364	5.0
365	4.0
366	2.0
367	2.0
368	4.0
369	2.0
370	5.0
371	7.0
372	4.0
373	2.0
374	5.0
375	7.0
376	5.0
377	5.0
378	2.0
379	3.0
380	2.0
381	4.0
382	4.0
383	5.0
384	1.0
385	2.0
386	2.0
387	8.0
388	5.0
389	3.0
390	2.0
391	3.0
392	5.0
393	2.0
394	2.0
395	3.0
396	5.0
397	3.0
398	4.0
399	4.0
400	2.0
401	3.0
402	4.0
403	4.0
404	3.0
405	4.0
406	3.0
407	0.0
408	2.0
409	3.0
410	7.0
411	2.0
412	4.0
413	3.0
414	4.0
415	5.0
416	3.0
417	4.0
418	0.0
419	1.0
420	3.0
421	5.0
422	1.0
423	3.0
424	8.0
425	3.0
426	5.0
427	7.0
428	2.0
429	3.0
430	5.0
431	1.0
432	5.0
433	5.0
434	4.0
435	2.0
436	4.0
437	8.0
438	3.0
439	5.0
440	3.0
441	1.0
442	5.0
443	7.0
444	3.0
445	2.0
446	4.0
447	3.0
448	8.0
449	5.0
450	4.0
451	3.0
452	3.0
453	3.0
454	4.0
455	4.0
456	6.0
457	3.0
458	3.0
459	8.0
460	5.0
461	2.0
462	3.0
463	3.0
464	3.0
465	3.0
466	2.0
467	4.0
468	5.0
